"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"SPICEPREFIX";
"#76_77";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"98";"";
"5V(ALTERN.IN)";"";"PINHD-1X3";"1X03";"PIN HEADER";"";"";"";"";"92";"";
"5V(OUT)";"";"PINHD-1X3";"1X03";"PIN HEADER";"";"";"";"";"92";"";
"BME680";"";"PINHD-1X5";"1X05";"PIN HEADER";"";"";"";"";"69";"";
"BME680_GROVE";"";"TWIG-4P-2.0-2.0";"4P-2.0";"Grove Stecker RM 2mm 4Pol";"";"";"";"";"";"";
"C_HX711_1";"0,1µF";"C2,5-3";"C2.5-3";"CAPACITOR";"";"";"";"";"38";"";
"C_HX711_2";"10µF";"CPOL-EUE2-5";"E2-5";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"14";"C";
"C_I²C_1";"0,1µF";"C2,5-3";"C2.5-3";"CAPACITOR";"";"";"";"";"38";"";
"C_I²C_2";"10µF";"CPOL-EUE2-5";"E2-5";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"14";"C";
"C_SP1";"xxµF";"C2,5-3";"C2.5-3";"CAPACITOR";"";"";"";"";"38";"";
"C_SP2";"xµF";"C2,5-3";"C2.5-3";"CAPACITOR";"";"";"";"";"38";"";
"C_TASTER";"100nF";"C2,5-3";"C2.5-3";"CAPACITOR";"";"";"";"";"38";"";
"DCIN+";"";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"64";"";
"DCIN-";"";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"64";"";
"DCIN2-";"";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"64";"";
"DC_OUT2_5V+";"";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"64";"";
"DC_OUT2_5V-";"";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"64";"";
"DC_OUT_5V+";"5V";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"64";"";
"DC_OUT_5V-";"GND";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"64";"";
"DS1";"";"TWIG-4P-2.0-2.0";"4P-2.0";"Grove Stecker RM 2mm 4Pol";"";"";"";"";"";"";
"DS2";"";"TWIG-4P-2.0-2.0";"4P-2.0";"Grove Stecker RM 2mm 4Pol";"";"";"";"";"";"";
"DS3";"";"TWIG-4P-2.0-2.0";"4P-2.0";"Grove Stecker RM 2mm 4Pol";"";"";"";"";"";"";
"DS4";"";"TWIG-4P-2.0-2.0";"4P-2.0";"Grove Stecker RM 2mm 4Pol";"";"";"";"";"";"";
"DS5";"";"TWIG-4P-2.0-2.0";"4P-2.0";"Grove Stecker RM 2mm 4Pol";"";"";"";"";"";"";
"DS6";"";"TWIG-4P-2.0-2.0";"4P-2.0";"Grove Stecker RM 2mm 4Pol";"";"";"";"";"";"";
"DS7";"";"TWIG-4P-2.0-2.0";"4P-2.0";"Grove Stecker RM 2mm 4Pol";"";"";"";"";"";"";
"DS8";"";"TWIG-4P-2.0-2.0";"4P-2.0";"Grove Stecker RM 2mm 4Pol";"";"";"";"";"";"";
"DS18B20(T0-92)";"DS18b20";"DS2405";"TO92-";"Addressable Switch";"DALLAS SEMICONDUCTOR";"DS2405";"1188025";"06F4645";"2";"";
"DS18B20-1";"";"PINHD-1X3";"1X03";"PIN HEADER";"";"";"";"";"92";"";
"DS18B20-2";"";"PINHD-1X3";"1X03";"PIN HEADER";"";"";"";"";"92";"";
"DS18B20-3";"";"PINHD-1X3";"1X03";"PIN HEADER";"";"";"";"";"92";"";
"DS18B20-4";"";"PINHD-1X3";"1X03";"PIN HEADER";"";"";"";"";"92";"";
"DS18B20-5";"";"PINHD-1X3";"1X03";"PIN HEADER";"";"";"";"";"92";"";
"DS18B20-6";"";"PINHD-1X3";"1X03";"PIN HEADER";"";"";"";"";"92";"";
"DS18B20-7";"";"PINHD-1X3";"1X03";"PIN HEADER";"";"";"";"";"92";"";
"DS18B20-8";"";"PINHD-1X3";"1X03";"PIN HEADER";"";"";"";"";"92";"";
"F1";"0,25A";"TR5";"TR5";"FUSE";"";"";"unknown";"unknown";"3";"";
"F2";"0,5A";"TR5";"TR5";"FUSE";"";"";"unknown";"unknown";"3";"";
"GROVE1";"";"TWIG-4P-2.0-2.0";"4P-2.0";"Grove Stecker RM 2mm 4Pol";"";"";"";"";"";"";
"GROVE2";"";"TWIG-4P-2.0-2.0";"4P-2.0";"Grove Stecker RM 2mm 4Pol";"";"";"";"";"";"";
"GROVE3";"";"TWIG-4P-2.0-2.0";"4P-2.0";"Grove Stecker RM 2mm 4Pol";"";"";"";"";"";"";
"GROVE4";"";"TWIG-4P-2.0-2.0";"4P-2.0";"Grove Stecker RM 2mm 4Pol";"";"";"";"";"";"";
"GROVE5";"";"TWIG-4P-2.0-2.0";"4P-2.0";"Grove Stecker RM 2mm 4Pol";"";"";"";"";"";"";
"HX";"";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"64";"";
"HX1";"";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"64";"";
"HX2";"";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"64";"";
"HX3";"";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"64";"";
"HX711-1";"";"PINHD-1X7";"1X07";"PIN HEADER";"";"";"";"";"0";"";
"HX711-2";"";"PINHD-1X4";"1X04";"PIN HEADER";"";"";"";"";"91";"";
"HX711-3";"";"PINHD-1X4";"1X04";"PIN HEADER";"";"";"";"";"91";"";
"HX711-4";"";"PINHD-1X7";"1X07";"PIN HEADER";"";"";"";"";"0";"";
"HX711-5";"";"PINHD-1X4";"1X04";"PIN HEADER";"";"";"";"";"91";"";
"HX711_RPI/LM33";"";"PINHD-1X3";"1X03";"PIN HEADER";"";"";"";"";"92";"";
"I²C";"";"PINHD-1X4";"1X04";"PIN HEADER";"";"";"";"";"91";"";
"I²C_RPI/LM33";"";"PINHD-1X3";"1X03";"PIN HEADER";"";"";"";"";"92";"";
"JP1";"";"PINHD-1X7";"1X07";"PIN HEADER";"";"";"";"";"0";"";
"JP2";"";"PINHD-1X6";"1X06";"PIN HEADER";"";"";"";"";"79";"";
"JP3";"";"PINHD-1X6";"1X06";"PIN HEADER";"";"";"";"";"79";"";
"JP_R_LED";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"98";"";
"JP_WITTYPI_ON_OFF";"";"PINHD-1X4";"1X04";"PIN HEADER";"";"";"";"";"91";"";
"LED";"";"TWIG-4P-2.0-2.0";"4P-2.0";"Grove Stecker RM 2mm 4Pol";"";"";"";"";"";"";
"LF33_HX711";"";"LM33CV";"337TS";"VOLTAGE REGULATOR";"";"";"";"";"3";"";
"LF33_I²C";"";"LM33CV";"337TS";"VOLTAGE REGULATOR";"";"";"";"";"3";"";
"PCF8581_MP";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"98";"";
"PCF8591_I²C";"";"PINHD-1X4";"1X04";"PIN HEADER";"";"";"";"";"91";"";
"POWER_IN";"";"PINHD-1X3";"1X03";"PIN HEADER";"";"";"";"";"92";"";
"R1_PCF8591";"30K";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"79";"R";
"R2_PCF8591";"7K5";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"79";"R";
"RASPBERRY_PI";"";"PINHD-2X20";"2X20";"PIN HEADER";"";"";"";"";"12";"";
"R_DS18B20";"4K7";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"79";"R";
"R_LED";"130Ohm";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"130Ohm";"R";
"R_TASTER";"47K";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"79";"R";
"S_TASTER";"";"10-XX";"B3F-10XX";"OMRON SWITCH";"";"B3F-1000";"176432";"36M3542";"72";"";
"TASTER";"";"TWIG-4P-2.0-2.0";"4P-2.0";"Grove Stecker RM 2mm 4Pol";"";"";"";"";"";"";
"TASTER_LED";"";"PINHD-1X4";"1X04";"PIN HEADER";"";"";"";"";"91";"";
"UART_GROVE";"";"TWIG-4P-2.0-2.0";"4P-2.0";"Grove Stecker RM 2mm 4Pol";"";"";"";"";"";"";
